Spanish,English
abrir, to open
cerrar, to close
decir, to say
desear, to desire
encender, to switch on
enviar, to envy
esperar, to hope
fumar, to smoke
hablar, to talk
leer, to read
nadar, to swim
pagar, to pay
poner, to put
responder, to respond
tomar, to take
usar, to use
ver, to watch
apagar, to switch off
comenzar, to start
decir, to say
enseñar, to teach
escribir, to write
estudiar, to study
gastar, to waste
gastar, to spend
intentar, to try
pensar, to think
